Module,QuestionNo,Question,Correct Answer,Option A,Option B,Option C
1,193,"Choose the correct statement.
",C, sin<x-cos<x =1,-sin<x+cos<x =1, tanx = sinx/cosx
1,194,"Choose the correct statement;
",A, cos2x = cos²x-sin²x,cos2x = 2 sin²x-1,cos2x = 1-2 cos²x
1,195,"(sinx/3) =( cosx/4)
Tanx = ?
",A, ¾, 4/5,4/3
1,196,"A right angled triangle has the two shortest sides of 6 cm and 8 cm.What is the lenght of the longest side ?
",A,10 cm, 12 cm,14 cm
1,197,"Choose the correct statement;
",A,sin30 = ½,cos30 =1/2,sin90 = 0
1,198,"A right angled Triangel has sides 12 cm,16cm and 20 cm.What is the sine of the angle between the 16 cm side and the 20 cm side.
",B,0.7,0.6,0.8
1,199,"ıf sınx is 4/5 , what is cosx .
",A,3/5,4/5,1
1,200,"tanx*cosx =?
",A,sinx,cosx,cotx
1,201,"The avarage speed of an aircraft that travels 6000 miles in 1,5 hours is.
",B,300 MPH,400 MPH,500 MPH
1,202,"Calculete the lengths of the sides of a cube 27 cm³= volume.
",A,3cm,4cm,5cm
1,203,"A cuboid has a volume of 84 m=,a with of 20 dm a heightof 60 dm.Determine is leght.
",A,7 m,7 dm,0.7 cm
1,204,"Find the Radius r of a circle with the circumfrence c of 64п cm.
",C,8cm,16 cm,32 cm
1,205,"Choose the correct statement.
",C, sin²x*cos²x =1, cotx = sinx/cosx, tanx = sinx/cosx
1,206,"What is the decimal equivalent of binary number 1101 ?
",B,12,84,15
1,207,"What is the octal equivalent of decimal number 217?
",B,331,143,1
1,208,"What is the hexadecimal equivalent of decimal number 175?
",C,10F,A15,AF
1,209,"What is the octal equivalent of hexadecimal numner 13D?
",A,475,175,77
1,210,"What is the binary equivalent of hexadecimal number BC?

",B,11010011,10111100,10101101
1,211," What is the decimal equivalent of hexadecimal number F23?
",C,35,1523,3775
1,212,"Expand the fraction 7/14 by using factor 7.
",B,½,49/98,1/14
1,213,"Find the highest common denominator of fraction 28/64 and reduce it.
",B,14/32,7/16,56/128
1,214,"Find the logarithm of 300 by using following values:
Log2=0.3; Log3=0.5; Log 4=0.6; Log 5= 0.7
",A,2.5,2,1.6
1,215,"Find the logarithm of 50 by using following values:
Log2=0.3; Log3=0.5; Log 4=0.6; Log 5= 0.7
",B,1.4,1.7,2.5
1,216,"Find the logarithm of 90 by using following value: Log3=0.4
",B,1.5,1.8,2.5
1,217,"What is the logarithm of √ 5 if log25 equals 1.4 ?
",C,7/10,1/3,7/30
1,218,"Which of the following is equal to log b2 ?
",B,2 logb,2/ logb,1/2 logb
1,219," calculate the value of  log√2 3√ 64
",C,2,½,4
1,220,"log50 – log5 + lne²=?
",C,1+e²,3+e,3
1,221,find x in the following right angle triangle.                                    ,B,8,4,2
1,222,"Radius of the following circle is 4 cm. Find the circumference and area of the circle.
",A,"Area: 16π, C=8π","Area: 8π, C=8π","Area: 16π, C=16π"
1,223,"Find the total area of following figure which has lengths in cm.
",C,28 cm²,25 cm²,22 cm²
1,224,"Find the total circumference of following figure.
",B,4π + 2 cm,3π + 4 cm,4π – 4 cm
1,225,".What is theexternal angle indicated on the figure below?.
",B,60,120,30
1,226,"similar angles in a right triangle, these angles are.                                             ",C,supplementary. ,subordinate.    , Complementary
1,227,An equilateraltriangle has.               ,C, no equal sides.   , 2 equal sides., 3 equal sides.
1,228,The three anglesof a triangle summed together equal.         ,B, 90,180,210
1,229,Calculate theheight of an obtuse triangle whose base is X cm and the area is Y square cm.                                             ,A,Y * 2/X.    , Y + X/2. , Y *2 *X.
1,230,"A right-angledtriangle has sides of 3 inches and 4 inches, what will the third side be?.                                              ",A, 5 inches. ,5.5 inches. ,6 inches.
1,231,To work out thecircumference of a circle use.                                                   ,B, D * 0.3142.    ,D * 3.142.  , D-3.142.
1,232,An equilateraltriangle has.                          ,C,two equal side.,no equal sides.  ,three equal sides.
1,233,11.A quadrilateralwith only two parallel sides is a.                                                ,B, Trapezium.   ,Trapezoid. ,Rhombus.
1,234,A triangle withequal angles is called.                        ,B,right angled. ,equilateral.   , isosceles.
1,235,"Two gears are inmesh, one is larger than the other, the smaller gear  rotates.                                                      ",A,at a faster speed.,at a lower speed.  ,at the same speed.
1,236,The name given tothis shape.                                                                                                                        ,B,Trapezoid.  ,Parallelogram., Rhombus.
1,237,A triangle withequal sides is.                   ,B, isosceles.   , equilateral.   ,acute.
1,238,"Two gears are inmesh, one has twice the number of teeth as the other.                                 ",B, the two gears rotate at the same speed., the gear with fewer teeth rotates faster than the other. , the gear with fewer teeth rotates slower than the other.
1,239,Locus pointsplotted equidistant from a central points represent.              ,A,circumference.   ,diameter.   ,radius.
1,240,A circle contains.                                ,B,2πr radians. ,2π radians. , 4π radians.
1,241,An obliquepyramid is one which has its axis.                                                    ,B,perpendicular to its base.,not perpendicular to its base.  , parallel to its base.
1,242,"An input gear has20 teeth and the output gear has 120 teeth. If the input gear rotates 360°, the output gear will rotate.                                                      ",A, 60°. ,45°. , 90°. 
1,243,A line from thecentre of a circle is called.                                                 ,C, diameter.   , its segment., radius.
1,244,"Give the name ofthe triangle, which has two sides equal in length and two equal angles.                                               ",B, Equilateral.   , Isosceles.,Obtuse.
1,245,"In an equilateraltriangle, all of the angles are equal, to.                              ",A,. π divided by 3.   , π divided by 4.   ,π divided by 2.
1,246,What is an obtuseangle?.      ,C,One greater than 180o ., B. One less than 90o. ,"One greater than 90°, but less than 180o ."
1,247,A congruenttriangle has.        ,A, same shape and size.  ,same size different shape.   ,same shape different size.
1,248,Which shape hasno parallel sides?.                                  ,B, Trapezoid.    ,Kite.,Rhombus.
1,249,The properties of ascalene triangle are.                             ,B,acute angle.  ,all sides different lengths.     ,all sides are equal.
1,250,What is the heightof an oblique pyramid?                               ,B,The height is angled to the base  ,The height is perpendicular to the base.   ,The height is parallel to the sides.
1,251,"What is the valueof in the diagram shown?.
",B, 30°., 35°,40°.
1,252,"How manydegrees are there in the smaller of the segments, where AB is one sixth of AC?.                          ",A,15°.  ,14.5°.   ,10°.
1,253,"In a parallelogram,if all the sides are of equal length and 1 angle is 90°, it is a.
",C, rhomboid.      , quadrilateral. ,square.
1,254,In a rhombus.                       ,B, all sides are different length with no angles 90°,all sides are equal length with no angles 90°.,adjacent sides are different lengths with no angles 90°
1,255,An isoscelestriangle has the following properties:.                  ,B,Two sides parallel.,Three sides the same length.   ,Two sides the same length.
1,256,In an obliquetriangle the axis is.                                           ,B, perpendicular to the base.  ,at a slant to the base.  ,parallel to the base.
1,257,How far does awheel of 7m radius travel in one revolution?.                                 ,C,14,22m,44m
1,258,For a scalenetriangle which is true?.                                    ,A,2 sides are equal. ,No 2 sides are equal.   ,One angle is acute.
1,259,A line to create asegment from the centre of a circle is a.                                       ,B,radius.  ,diameter. ,chord.
1,260,A shape with 4equal sides and one 90° angle is a.                 ,C,parallelogram.          , rhombus.  ,square.
1,261,"In a right angledtriangle the longest side is 20cm long, the shortest side is 12cm. What length is the last side?.                              ",C,13.6cm.  ,18cm.       ,16cm.
1,262,The sum of theinternal angles of a triangle is.                           ,A,180°. ,2π radians.     ,360°.
1,263,A triangle hasangles 67° and 48°. The third angle is.           ,C, 115°.,75°., 65°.
1,264,A triangle hasangles 67° and 48°. The third angle is.            ,C,115°.     , 75°. ,65°.
1,265,The sum of theangles of a polygon with 'n' sides is.         ,A,180 x (n-2).   ,(n/4) x 180.    , 60 x n.
1,266,Suppose the earthto be a real sphere with the radius R. The arc distance from HK (N23) to the North pole is:.                   ,C, 0.9R.,2.2R.   ,1.2R.
1,267,One radian is.                       ,B,the angle subtended at the centre of a circle when the arc-length formed between two radial lines is equal to pi. ,the angle subtended at the centre of a circle when the arc-length formed between two radial lines is equal in length to the radius, 66.67°.
1,268,How manydegrees in π radians ?.                                         ,A,180,360,90
1,269,The sum of theexternal angles of any polygon is.                  ,C,180 degrees.  , 540 degrees.  ,360 degrees.
1,270,Which of the 2angles are called supplementary?.                     ,A,60 degrees and 120 degrees.  , 40 degrees and 40 degrees.  ,30 degrees and 60 degrees
1,271,An acute angle is.               ,A,less than 90 degrees.  ,less than 180 degrees. ,more than 90 degrees.
1,272,A straight linewhich goes from one point on the circumference to another is called.                                             ,C,an arc. ,a tangent.    ,a chord.
1,273,What is the namegiven to a quadrilateral with two pairs of adjacent sides equal and the diagonals intersect at right angles? Note not all the sides are equal?.                             ,A, kite. , parallelogram. , rhombus.
1,274,Find the size of theother two angles of an isoscelese triangle with one angle of 100°.                                          ,A,"40°, 40°."," 30°, 30°. "," 100°, 20°."
1,275,A triangle alwayshas.              ,B,exactly one right angle.,at least two acute angles.  , exactly two acute angle.
1,276,The locus of apoint which stays the same distance from a given point is.                                ,A,a circle.   ,a parallel line., an ellipse.
1,302,In a right-angledtriangle the other two angles are both 45°. The length of the opposite side can be calculated by.                                ,C,cos 45° x length of the adjacent side of the triangle. ,cos 45° x length of the adjacent side of the triangle. ,sin 45° x length of the hypotenuse side of the triangle
1,303,"Sin ø =.?
 ",A,A/C. ,B/C.  , C/A.
1,304,"Cos A =.?
",C,1.2,0.6,0.8
1,305,"In a right-angletriangle, the sine of an angle is                          ",A, opposite divided by hypotenuse. , adjacent divided by hypotenuse.     ,opposite divided by adjacent.
1,306,"In a right-angletriangle, the tangent of an angle is.                   ",A,opposite divided by adjacent.  , adjacent divided by hypotenuse.  ,. opposite divided by hypotenuse.
1,307,"In a right-angletriangle, the cosine of an angle is.                                   ",B, opposite divided by hypotenuse. ,adjacent divided by hypotenuse.   ,opposite divided by adjacent.
1,308,"On a right angletriangle, the longest side is 20 cm and the shortest is 12 cm. What is the other side?.                                              ",C,13 cm,18 cm,16 cm
1,309,"In a right triangle,SINE theta =",C, adjacent divided by hypotenuse.,opposite divided by adjacent., opposite divided by hypotenuse.
1,310,Complete thefollowing:             SINE a =.                                                                            ,B, a squared times b squared,opposite side divided by the hypotenuse side.,adjacent side divided by the opposite side.
1,311,A sector withangle A is subtended to the centre point of a circle. Area of the sector is proportional to:.                                                     ,A, Angle A.  ,Cos A. , Sin A.
1,312,"Starting from zeroamplitude, the cosine curve repeats itself between.                                         ",B,-180 and 180 degree.,-90 and 270 degrees., 0 and 360 degree.
1,313,Choose the correct statement:. ,A,Cosec2 x-Cot2 x = 1. ,Sec2 x+tan2 x = 1.   ,Cos2 x-Sin2 x = 1.
1,314,A right angledtriangle has the two shortest sides of 5cm and 12 cm. What is the length of the longest side?.                                          ,C,17cm.,15cm., 13cm.
1,315,Thetrigonometrical ratio; adjacent divided by hypotenuse is.                                                     ,C,Sine.  ,Tangent. , Cosine.
1,316,57.3 degrees isequal to.                        ,B,2 radians,1 radian. , π radians.
1,317,"A right angledtriangle has sides 6cm, 8cm and 10 cm. What is the sine of the angle between the 8cm side and the 10 cm side?.                                                  ",B,0.75,0.6,0.8
1,318,Sin 90 =  ?                           ,B, Infinity ,1,0
1,319,What size of angle has the same ratio for both the sine and the cosine?.                                             ,C,60,0,45
1,320,"Sin A is equal to.
",B, 3/4, 3/5, 4/5
1,321,"If cos 60 is 0.5,what is sin 30?. ",A,0.5,. None of the above. ,0.866.
1,322,1.5/16 + 3/32 expressed as a single fraction is.                                     ,A, 13/32. ,8/48.,15/512.
1,323,Dividing 41/2 by 21/6 gives the answer of.                                               ,C,21/3.,25/12.,54/26.
1,324,10000 expressed as ten raised to a power would be.                                 ,C,70,23,55
1,325,60 mm expressedas a percentage of 3 metres is.                               ,A,2 %.,1.8 %, 0.5 %
1,326,The average speedof an aircraft that travels 7200 miles in 12 hours is.                                                                                      ,C,864 MPH.,167 MPH. 0  , 600 MPH.
1,327,The sum ofcomplex numbers a+bi and a'+b'i are.                        ,A,(a+b)+(a'+b')i., (a+a')i+(b+b').  , (a+a')+(b+b')i.
